304,-1738,-1738
1619,598,598
-16,-141,-141
1621,-1605,-1605
-412,-1884,-1884
815,640,640
1859,-1682,-1682
1938,-435,-435
1910,-597,-597
-648,-1843,-1843
1146,1052,1052
4290,-1775,-1775
770,337,337
-1953,-684,-684
755,315,315
-871,-2900,-2900
704,-1838,-1838
-1774,322,322
4417,-2966,-2966
1833,-1916,-1916
2792,-1862,-1862
403,-866,-866
2379,-1195,-1195
-1656,-2083,-2083
-93,4,4
4006,-1896,-1896
-1778,-526,-526
527,-871,-871
4226,-3210,-3210
480,-836,-836
-499,-457,-457
-152,-2516,-2516
1986,509,509
3536,-2435,-2435
-1288,-11,-11
2965,-3046,-3046
-617,-2861,-2861
-1810,-1686,-1686
710,-1865,-1865
557,-1965,-1965
-16,-1331,-1331
-861,-803,-803
-1736,564,564
1881,1763,1763
-966,-685,-685
-549,-1759,-1759
699,1426,1426
1227,-176,-176
337,-442,-442
749,639,639
251,402,402
-1279,-2585,-2585
-501,223,223
1564,-1886,-1886
1605,-646,-646
1924,795,795
403,-2966,-2966
-557,-2934,-2934
1631,-1773,-1773
-442,-970,-970
1861,-3054,-3054
444,-2051,-2051
1468,-1886,-1886
-1303,2,2
-1639,679,679
21,-2397,-2397
1120,-147,-147
-1640,760,760
1231,-2522,-2522
1659,-2798,-2798
-1195,-2492,-2492
508,287,287
809,428,428
390,1797,1797
-2005,-3099,-3099
-64,-2518,-2518
-908,-626,-626
-1998,-719,-719
635,-781,-781
1870,-523,-523
1793,385,385
1750,-3106,-3106
2880,-865,-865
-93,-188,-188
452,-2876,-2876
1652,441,441
381,-1710,-1710
-2008,-3023,-3023
-464,-1963,-1963
1468,-1773,-1773
-1851,-1733,-1733
1490,-1692,-1692
-1351,-2537,-2537
1869,-438,-438
-1769,499,499
1598,-3252,-3252
1127,-1297,-1297
-574,-2901,-2901
741,1517,1517
1903,-1834,-1834
400,-2922,-2922
1810,-1992,-1992
660,626,626
-2088,-1726,-1726
1888,-509,-509
381,-2895,-2895
-573,475,475
671,-1745,-1745
619,-567,-567
662,-721,-721
-529,-2873,-2873
-1978,-800,-800
1121,-143,-143
21,-1380,-1380
388,438,438
-667,517,517
-1623,621,621
-111,1181,1181
-561,-498,-498
-703,622,622
3877,-1872,-1872
426,385,385
-429,506,506
1202,-11,-11
2240,-1314,-1314
480,-2048,-2048
1492,627,627
-879,-602,-602
1949,-719,-719
1842,1668,1668
362,1718,1718
1893,-3148,-3148
